playerId,name,DBNOs,assists,boosts,kills,killStreaks,headshotKills,roadKills,teamKills,longestKill,damageDealt,heals,revives,deathType,rideDistance,swimDistance,walkDistance,timeSurvived,weaponsAcquired,killPlace,winPlace,match_id,roster_id,roster_members,roster_rank,roster_won
account.e7d6e20ca8304f5d958e7a00cbe274a2,Elleasia,0,0,1,0,0,0,0,0,0.0,0.0,2,0,byplayer,0.0001413501,28.31281,2478.0693,676.599,6,49,5,719f0d3a-f061-47df-b3bb-f61d27c40e24,14def2bd-de50-4f9f-999a-f09c98a62ea3,4,5,0
account.0c5db02cc1d24bf29aa5f5dbf8a04ff7,momo_harin,0,0,0,0,0,0,0,0,0.0,0.0,6,0,byplayer,0.0011335127,28.374475,3804.1194,1165.779,6,48,5,719f0d3a-f061-47df-b3bb-f61d27c40e24,14def2bd-de50-4f9f-999a-f09c98a62ea3,4,5,0
account.d264d639e1414196aca5a290187ab697,r4onlylove,0,0,1,0,0,0,0,0,0.0,0.0,7,0,byzone,0.00097635254,36.53187,3608.1575,1187.073,9,47,5,719f0d3a-f061-47df-b3bb-f61d27c40e24,14def2bd-de50-4f9f-999a-f09c98a62ea3,4,5,0
account.418570389ebc4b858e6ede04a70a5dc2,ElseIF1,2,0,5,3,1,1,0,0,16.403008,343.85114,12,0,byplayer,0.00059658056,28.248049,3745.4663,1271.322,6,9,5,719f0d3a-f061-47df-b3bb-f61d27c40e24,14def2bd-de50-4f9f-999a-f09c98a62ea3,4,5,0
account.8ddc0157d684429ead3dec906b7c4c21,Kateams,1,0,0,0,0,0,0,0,0.0,100.00001,0,1,byplayer,0.0,0.0,193.58606,316.384,4,76,24,719f0d3a-f061-47df-b3bb-f61d27c40e24,be56c703-bf68-4aed-8342-342470f91db6,4,24,0
account.bd798ec61850447d90091ec6f52fa42e,opggkr,0,0,0,0,0,0,0,0,0.0,0.0,0,0,byplayer,0.0,0.0,122.48236,177.458,2,81,24,719f0d3a-f061-47df-b3bb-f61d27c40e24,be56c703-bf68-4aed-8342-342470f91db6,4,24,0
account.135491c4904b412b8a0e336af5cee4a6,KORANA_SH,0,0,1,0,0,0,0,0,0.0,55.800003,2,0,byplayer,0.0,0.0,329.66544,300.136,5,78,24,719f0d3a-f061-47df-b3bb-f61d27c40e24,be56c703-bf68-4aed-8342-342470f91db6,4,24,0
account.c392d2a1557e425999749a4a2cbb3a2e,ajdajd02,0,0,0,0,0,0,0,0,0.0,31.0,0,0,byplayer,0.0,0.0,22.8177,105.446,1,84,24,719f0d3a-f061-47df-b3bb-f61d27c40e24,be56c703-bf68-4aed-8342-342470f91db6,4,24,0
account.7e6e6a1683784bb2a722d73375d5909f,TES_0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,byplayer,0.0,0.0,247.54967,262.224,4,62,16,719f0d3a-f061-47df-b3bb-f61d27c40e24,5a467dbf-650c-4c49-9960-a2b87c867803,3,16,0
account.7de2f0e65059418183468c44c7929289,yygh9901,0,0,0,0,0,0,0,0,0.0,0.0,0,0,byplayer,0.0,0.0,165.62646,202.254,2,63,16,719f0d3a-f061-47df-b3bb-f61d27c40e24,5a467dbf-650c-4c49-9960-a2b87c867803,3,16,0
account.0c48064d16b3463da47c833109328bb9,GET_SAY_KIA,1,0,2,1,1,0,0,0,3.6369543,111.189995,0,1,byplayer,0.0,0.0,1441.9006,603.176,3,36,16,719f0d3a-f061-47df-b3bb-f61d27c40e24,5a467dbf-650c-4c49-9960-a2b87c867803,3,16,0
account.1b9b8989bd284c918e32f6f40251e928,DONT-_-,1,0,1,2,2,1,0,0,13.964961,200.0,4,1,byplayer,0.0,0.0,522.8066,608.443,3,20,15,719f0d3a-f061-47df-b3bb-f61d27c40e24,2ded23b4-9d24-4d58-b63b-fac8de45e395,3,15,0
account.e552d96b4af94a0b8d4c22ac4984ee3d,DdaBoy,1,0,0,1,1,0,0,0,29.023123,107.355,1,0,byplayer,0.0,0.0,505.43378,608.445,4,35,15,719f0d3a-f061-47df-b3bb-f61d27c40e24,2ded23b4-9d24-4d58-b63b-fac8de45e395,3,15,0
account.0fe78e54ff0b41e3bd83024d61261fc8,sonic1237,0,0,0,0,0,0,0,0,0.0,88.68,0,1,byplayer,0.0,0.0,773.61865,605.278,5,61,15,719f0d3a-f061-47df-b3bb-f61d27c40e24,2ded23b4-9d24-4d58-b63b-fac8de45e395,3,15,0
account.225e4780dc444768a0daee415ddcc5aa,hyj7361,2,1,1,4,2,0,0,0,9.244811,133.7,0,0,byplayer,0.0,0.0,318.70837,255.451,3,5,26,719f0d3a-f061-47df-b3bb-f61d27c40e24,db3fc0cd-0aa1-4a14-b375-e6ad28681e62,4,26,0
account.ecc00e833a794d0abee2b604999a18f7,zidanchang1,1,0,0,1,1,0,0,0,1.1593387,100.0,0,0,byplayer,0.0,0.0,90.246574,151.24,2,43,26,719f0d3a-f061-47df-b3bb-f61d27c40e24,db3fc0cd-0aa1-4a14-b375-e6ad28681e62,4,26,0
account.c90ca639e7cd4dd8b497c00666de139f,ninekiller-009,1,0,0,3,1,2,0,0,27.591806,249.0,0,0,byplayer,0.0,0.0,200.08762,247.18,4,12,26,719f0d3a-f061-47df-b3bb-f61d27c40e24,db3fc0cd-0aa1-4a14-b375-e6ad28681e62,4,26,0
account.9322645b00d64039913cd02a94d5892f,sch5765,0,0,0,0,0,0,0,0,0.0,0.0,0,0,byplayer,0.0,0.0,21.588963,91.501,1,87,26,719f0d3a-f061-47df-b3bb-f61d27c40e24,db3fc0cd-0aa1-4a14-b375-e6ad28681e62,4,26,0
account.036f08c26cf34f9c9717f4e0140bbade,KOR_Hazek,2,0,1,2,2,1,0,1,26.428495,345.93253,1,0,suicide,0.0,0.0,848.1353,779.587,10,18,9,719f0d3a-f061-47df-b3bb-f61d27c40e24,2fd2c6cf-f92d-4b6b-9b57-8952f462d290,4,9,0
account.cdbab206a1784c80a1ef3008473e973e,KOR_SANGJOON,1,0,2,0,0,0,0,0,0.0,100.0,0,0,byplayer,293.3823,0.0,1897.1892,1072.233,4,54,9,719f0d3a-f061-47df-b3bb-f61d27c40e24,2fd2c6cf-f92d-4b6b-9b57-8952f462d290,4,9,0
account.47a60cbbaf1449309a84b42d773735cf,Minsung_Korea,3,1,3,2,1,0,0,0,59.153366,280.24,2,0,byplayer,602.4324,0.0,1946.9537,1090.676,4,17,9,719f0d3a-f061-47df-b3bb-f61d27c40e24,2fd2c6cf-f92d-4b6b-9b57-8952f462d290,4,9,0
account.aaa94b871c0f44dc9c75d0c5fdfb2a34,2_hyejin,1,0,0,0,0,0,0,0,0.0,95.0,8,0,byplayer,638.723,0.0,1933.3179,1090.674,5,53,9,719f0d3a-f061-47df-b3bb-f61d27c40e24,2fd2c6cf-f92d-4b6b-9b57-8952f462d290,4,9,0
account.1e1f7c86e2c8455aae6f4a84d76ddda5,TWICE_D,0,0,6,1,1,0,0,0,12.369028,79.68996,4,0,byplayer,0.0,0.0,2041.0736,977.383,6,32,10,719f0d3a-f061-47df-b3bb-f61d27c40e24,16904516-b773-4659-bb5e-8cc908499674,4,10,0
account.3a1b7730a3724bf5acfeee8ea528fbb4,Dachsman,0,0,1,0,0,0,0,1,0.0,0.0,4,0,suicide,0.0,0.0,644.1967,704.432,8,60,14,719f0d3a-f061-47df-b3bb-f61d27c40e24,16904516-b773-4659-bb5e-8cc908499674,4,10,0
account.a489120fbe63424183f88bbcbdcfadf2,shabakowai,0,0,0,0,0,0,0,0,0.0,0.0,0,0,byplayer,0.0,0.0,237.09007,179.76,3,88,27,719f0d3a-f061-47df-b3bb-f61d27c40e24,16904516-b773-4659-bb5e-8cc908499674,4,10,0
account.98ed3ad10357402a84dd153306939591,ExtremeAttacker,1,0,0,0,0,0,0,0,0.0,100.0,0,0,byplayer,0.0,0.0,496.2306,252.582,6,80,24,719f0d3a-f061-47df-b3bb-f61d27c40e24,16904516-b773-4659-bb5e-8cc908499674,4,10,0
account.5c0f3bf3fb554b8b942a30c763f6d35d,ymmmm00000,2,0,1,2,1,0,0,0,19.703943,300.0,1,1,byplayer,0.0,0.0,611.0734,471.966,8,22,19,719f0d3a-f061-47df-b3bb-f61d27c40e24,99cb2bb7-7a03-46e1-bac5-fe7518de4195,4,19,0
account.f711a0c2bf4c425bb6962828d3a43639,Ulsanfriend,1,0,1,1,1,0,0,0,40.80222,119.435,2,1,byplayer,0.0,0.0,390.43625,471.968,4,37,19,719f0d3a-f061-47df-b3bb-f61d27c40e24,99cb2bb7-7a03-46e1-bac5-fe7518de4195,4,19,0
account.b0f32d122caa4eab8bafd0c540d02f4b,k3939,2,0,2,0,0,0,0,0,0.0,136.565,0,1,byplayer,0.0,0.0,510.9741,471.97,4,65,19,719f0d3a-f061-47df-b3bb-f61d27c40e24,99cb2bb7-7a03-46e1-bac5-fe7518de4195,4,19,0
account.820daa28b3e545fd86a6b5109fba7f03,DaeJeon_Reo,1,0,1,1,1,0,0,0,14.806554,160.08,0,0,byplayer,0.0,0.0,412.28265,461.676,2,38,19,719f0d3a-f061-47df-b3bb-f61d27c40e24,99cb2bb7-7a03-46e1-bac5-fe7518de4195,4,19,0
account.5fe9787c18f84c7c973cde5f489f3fa9,Voich,0,0,0,0,0,0,0,0,0.0,0.0,0,0,byplayer,314.51874,0.0,960.2429,480.497,5,64,18,719f0d3a-f061-47df-b3bb-f61d27c40e24,59cdf7b2-af1e-4a5d-9986-5ca5955ef2c0,3,12,0
account.c571d080913f4cc8ba119dfc6d957920,Xivil,1,0,4,0,0,0,0,0,0.0,108.0,2,1,byplayer,2256.0293,0.0,1933.427,949.78,4,55,12,719f0d3a-f061-47df-b3bb-f61d27c40e24,59cdf7b2-af1e-4a5d-9986-5ca5955ef2c0,3,12,0
